
Time stamp: 1700334688.844312 Date time: 2023-11-18 16:11:28.844312
 
Motor 21 | Velocidade: 1.8388949290219616
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.8388949290219616
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334694.914662 Date time: 2023-11-18 16:11:34.914662
 
Motor 1 | Velocidade: 1.9226378318057211
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9226378318057211
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9226378318057211
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9226378318057211
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9226378318057211
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9226378318057211
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9226378318057211
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9226378318057211
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9226378318057211
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9226378318057211
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9226378318057211
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9226378318057211
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334695.916591 Date time: 2023-11-18 16:11:35.916591
 
Motor 1 | Velocidade: 1.9628481182862085
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9628481182862085
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9628481182862085
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9628481182862085
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9628481182862085
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9628481182862085
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9628481182862085
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9628481182862085
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9628481182862085
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9628481182862085
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9628481182862085
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9628481182862085
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334696.929929 Date time: 2023-11-18 16:11:36.929929
 
Motor 1 | Velocidade: 1.9860284216704363
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9860284216704363
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9860284216704363
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9860284216704363
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9860284216704363
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9860284216704363
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9860284216704363
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9860284216704363
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9860284216704363
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9860284216704363
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9860284216704363
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9860284216704363
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334697.941452 Date time: 2023-11-18 16:11:37.941452
 
Motor 1 | Velocidade: 1.9932904376566214
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9932904376566214
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9932904376566214
Motor 6 | Velocidade: 0
Motor 7 | Velocidade: 1.9932904376566214
Motor 8 | Velocidade: 0
Motor 9 | Velocidade: 1.9932904376566214
Motor 10 | Velocidade: 0
Motor 11 | Velocidade: 1.9932904376566214
Motor 12 | Velocidade: 0
Motor 13 | Velocidade: 1.9932904376566214
Motor 14 | Velocidade: 0
Motor 15 | Velocidade: 1.9932904376566214
Motor 16 | Velocidade: 0
Motor 17 | Velocidade: 1.9932904376566214
Motor 18 | Velocidade: 0
Motor 19 | Velocidade: 1.9932904376566214
Motor 20 | Velocidade: 0
Motor 21 | Velocidade: 1.9932904376566214
Motor 22 | Velocidade: 0
Motor 23 | Velocidade: 1.9932904376566214
Motor 24 | Velocidade: 0
Motor 25 | Velocidade: 0
Motor 26 | Velocidade: 0
Motor 27 | Velocidade: 0
Motor 28 | Velocidade: 0
Motor 29 | Velocidade: 0
Motor 30 | Velocidade: 0

Time stamp: 1700334698.953353 Date time: 2023-11-18 16:11:38.953353
 
Motor 1 | Velocidade: 1.9967778708709614
Motor 2 | Velocidade: 0
Motor 3 | Velocidade: 1.9967778708709614
Motor 4 | Velocidade: 0
Motor 5 | Velocidade: 1.9967778708709614
Motor 6 | Velocidade: 0
